t3_um,radius_um,pressure_pa,capacitance_fF
4.0,0.0,2200.0,243.54
4.0,0.0,2200.0,357.66
4.0,0.0,2300.0,244.64
4.0,0.0,2300.0,360.1
4.0,0.0,2400.0,245.73
4.0,0.0,2400.0,362.53
4.0,0.0,2500.0,246.81
4.0,0.0,2500.0,364.95
4.0,0.0,2600.0,247.88
4.0,0.0,2600.0,367.35
4.0,0.0,2700.0,248.94
4.0,0.0,2700.0,369.74
4.0,0.0,2800.0,249.99
4.0,0.0,2800.0,372.13
4.0,0.0,2900.0,251.04
4.0,0.0,2900.0,374.51
4.0,0.0,3000.0,252.07
4.0,0.0,3000.0,376.88
4.0,0.0,3100.0,253.1
4.0,0.0,3100.0,379.25
4.0,0.0,3200.0,254.12
4.0,0.0,3200.0,381.61
4.0,0.0,3300.0,255.13
4.0,0.0,3300.0,383.98
4.0,0.0,3400.0,256.14
4.0,0.0,3400.0,386.34
4.0,0.0,3500.0,257.14
4.0,0.0,3500.0,388.7
4.0,0.0,3600.0,258.14
4.0,0.0,3600.0,391.07
4.0,0.0,3700.0,259.13
4.0,0.0,3700.0,393.43
4.0,0.0,3800.0,260.12
4.0,0.0,3800.0,395.8
4.0,0.0,3900.0,261.1
4.0,0.0,3900.0,398.18
4.0,0.0,4000.0,262.08
4.0,0.0,4000.0,400.55
4.0,0.0,4100.0,263.06
4.0,0.0,4100.0,402.94
4.0,0.0,4200.0,264.03
4.0,0.0,4200.0,405.33
4.0,0.0,4300.0,264.99
4.0,0.0,4300.0,407.73
4.0,0.0,4400.0,265.96
4.0,0.0,4400.0,410.13
